index,twitter_total,none_correlation,entity_correlation,verb_correlation,context_correlation,Noun,Name,Word,Verb,Scene
31,Barack Obama told me to show yall this.. ,,,,,0,0,0,1,0
32,#decemberwish lots of love with @bernadetteputri _Ù÷÷,,,,,0,0,0,0,1
33,The Police man who captured my heart ;)) #instalove,,,,,1,0,0,0,0
34,Mad as hell because I just left religion class & my teacher Sister Barbara does NOT know how to fucking act #smdsaviour,,,,,0,1,0,0,0
35,Colts cheerleaders shave heads for coach Pagano. #chuckstrong #BUFvsIND,,,,,0,1,0,0,0
36,Panama ;) #globalwarming,,,,,1,0,0,0,0
37,Did you see me on @todayshow ?! ;) #globalwarming,,,,,0,0,0,0,1
39,Beautiful daylight moon at sunset over #newyork this evening. #sunset #moon #newyork,,,,,1,0,0,0,0
40,GIF: Sprinklers went off on the field in Miami today. This is during an NFL game.,,,,,0,1,0,0,0
41,,,,,,0,0,0,0,0
42,,,,,,0,0,0,0,0
43,Le commissariat de police de Flic en Flac: un dÌ©cor d'opÌ©rette! #Mauritius,,,,,1,0,0,0,0
44,Daqui a pouco tem #NFL com #Giants vs #Packers na #espn... Go go New York Giants... #GoGiants #nygiants #newyorkgiants #football #usa #newyork #packersvsgiants #gogiantsgo #tonight #greenbaypackers #pack #sundaynightfootball #letsgo #touchdown,,,,,0,1,0,0,0
45,#temple #singapore #honeymoon #religion #architecture #building,,,,,1,0,0,0,0
46,Doakan kami ya Santa Bunda Allah. #virginMary #religion #cave #pray #trip #yogyakarta,,,,,1,0,0,0,0
47,Egypte :Photo symbole des affrontements au Caire entre manifestants et forces de l'ordre via @KetyDC ,,,,,0,0,0,0,0
48,I luv my fans @todayshow #globalwarming,,,,,0,1,0,0,0
49,#religion #god #train #children #faith #flowers #art #drawing  brucemcc.tumblr .com,,,,,0,0,0,0,1
50,What's a tour of L.A. without a police raid ...,,,,,1,0,0,0,0
51,This election has got me feelin crazy!,,,,,1,0,0,0,0
52,Fabulous Fall moon over #newyork this afternoon. #Fall #moon,,,,,0,1,0,0,0
53,"Went to see my friend's JRock show iluminate,you could see them in AGT",,,,,0,0,1,0,1
54,At the pyramids,,,,,1,0,0,0,0
56,Yep more orange at Zimmerman Westfield CBD,,,,,1,0,0,0,0
57,Our first sushi - cairo e joe alejandro,,,,,1,0,0,0,0
58,,,,,,0,0,0,0,0
59,Indo pra portugal!#championsleague,,,,,1,0,1,0,0
60,Sending my cash to Africa before Obama start raising taxes on the rich biiiiitch!!!!,,,,,1,0,0,1,0
61,Spongebob sandy,,,,,0,0,1,0,0
62,Love my new #iPad wallpaper | #skype #instagram #linkedin #championsleague #foursquare #facebook #twitter #chrome #ligtv #imdb #TED #unitednations #UN,,,,,1,0,0,0,0
65,Had to wait a million years to get into HermÌ¬s _Ù÷Å #protest #peta #nofur #blackfriday #southcoastplaza #hermÌ¬s #iphone #iphone4s,,,,,0,0,0,0,1
66,,,,,,0,0,0,0,0
67,#NW #KaleidoscopeOnIce Love this! Kurt Browning is showing out! Love the cause too....Support for cancer patients and funding cancer research.,,,,,1,0,0,0,0
68,Mucha fuerza para hoy @javigarcia_6 !  Go @mcfcofficial  #manchestercity  #championsleague  #javigarcia  #14,,,,,1,0,0,0,0
69,#anti #abortion #babies,,,,,0,1,0,0,0
70,Giants Game! #newyork #giants #gmen #nfl #football #sports #tailgating #beer,,,,,0,1,0,0,0
71,My Plate In Clay Class! #MarriageEquality #gaymarriage #lesbians #gays,,,,,1,0,0,0,0
72,Such a good day. I can't wait to go back. #hurricanesandy #breezypoint #queens,,,,,0,0,1,0,0
73,Iron bowl weekend turnt TF up #Designer that's swag_Ù÷_ #True to my religion ‰ª_,,,,,1,0,0,0,0
74,#matthias #church #Budapest #buda #pest #hungary #europe #magyar #architecture #religion #matyas #templom,,,,,0,0,0,0,1
76,ASI se ven los partidos del Madrid! @mercideherrera #wine #realmadrid #halamadrid #championsleague,,,,,1,0,0,0,0
77,"I think pigs should join th Police, they can run fast, have a nasty nip and when they get old,  taste nice in a sandwich!",,,,,1,1,0,0,0
78,#MemoriesIWontForget the first time i heard this...,,,,,1,0,0,0,0
80,"""I, Ross."" ""I, Ross."" ""Take thee Emily."" ""Take thee Rachel."" #MemoriesIWontForget #Friends ",,,,,0,1,0,0,0
81,,,,,,0,0,0,0,0
82,"Black Friday ""shopping"" can wear you out... #daviecakes #blackfriday #passedout @helloitsjared",,,,,1,0,0,0,0
83,Vamos! #championsleague #realmadrid #ajax,,,,,0,0,0,0,1
86,"Fuck you sandy, #17joan still stands",,,,,0,0,0,0,0
88,signed a petition against abortion,,,,,1,0,0,0,0
90,Ugg boots .. true religion pants .. Hollister sweater .. Levi Jean jacket ..,,,,,1,0,0,0,0
91," ‰÷_ ‰ª´ ‰ª» [‰ªÇ] #DecemberWish Musik ‰ª» [‰ªÇ], Cinta‰ª´ dan Hidup ‰÷_",,,,,0,0,0,0,0
92,#police #cars #instagood #usa #kuwait #ksa #egypt #gcc #art #oman #me #beach #golf #qatar #bahrain #¯_ôã¯¬¯_¯±ô_ô  #uk,,,,,0,1,0,0,0
93,i looked at this picture and contracted aids in the process,,,,,1,0,0,1,0
94,,,,,,0,0,0,0,0
95,,,,,,0,0,0,0,0
96,Œüâ_¥á_Åü__¥ç´¬‹âè‹Å_‹ÛâèÀÔ_äÛ‹Å_‹Åã‹Å_‹âÒ‹Å¬‹Å»‹âÒ‹ÅÊ‹Å»‹Ûâ,,,,,0,0,0,0,0
98,,,,,,0,0,0,0,0
99,Show exhibition to Election Miss Mons and Mister hainaut,,,,,0,1,0,0,0
100,My baby ...,,,,,1,0,0,0,0
101,#Decemberwish Be happy.,,,,,1,0,0,0,0
104,Photo documentary on Hurricane Sandy is up. www.emileerosephotography.com/blog #dsny #hurricanesandy,,,,,0,0,0,0,1
105,"Pray for my friend Jocelyn Arias, who has cancer. She's 5 years old ‰ù__Ùªè_ÙÕ_",,,,,1,1,0,1,0
106,#picstitch lets go #gmen we got this tonight..packers going down! Giants fans stand up!! #newyork #giants #football #nfl #gmen #bigblue #allday #wegotthis #ig,,,,,1,0,1,0,0
108,Election day!,,,,,0,0,1,0,1
109,This was ridiculous #blackfriday #line #shopping,,,,,1,0,0,0,0
111,6.8.2 Records Inc. on #Facebook @682_Records_Inc on #Twitter.,,,,,1,0,1,0,0
112,#MemoriesIWontForget,,,,,0,0,0,0,0
117,The first kiss. #MemoriesIWontForget #Friends ,,,,,1,0,0,1,1
118,Good afternoon _Ù÷Å feeling to good; True religion kind of day _ÙÔÎ,,,,,1,0,0,0,0
119,"Mommy gave me my pretty face, daddy gave me my political claws. #obama #limbaugh #foxNews #lem8392",,,,,1,0,0,0,0
120,#december#decemberwish #goals#Christmas_ÙÕÑ _Ù_ã_Ù_É_ÙÕù_ÙÕù_Ù_ä_Ù_Å_Ù___Ù_ö_Ù_à_ÙÓ¨,,,,,0,0,0,0,0
121,Some ˆü_ˆü£ˆü£ˆüã.. Some ˆü_ˆü£ˆü¡ˆü÷ˆü_ˆüª.. #panorama #election #studentcouncil,,,,,0,0,0,0,0
123,Looks like @FlipBoard cornered the market on post-Thanksgiving election ads.,,,,,0,1,1,0,0
126,"#championsleague :Fans of galatasaraysk, don‰Ûªt miss the chance to vote for Burak Y€±lmaz and get him in the http://t.co/KiV0B55y",,,,,1,1,0,0,0
127,This shit only happens on a #blackfriday,,,,,0,0,0,0,0
128,#picstitch I swear this nigga me nd pop bumped into at the 7/11 look nd sound jus like Barack Obama! On everything I'm not playin,,,,,1,0,0,0,0
129,#wiggin out _Ù÷Ï_Ù÷Ï,,,,,0,0,0,0,0
130,Obama said ,,,,,1,1,1,0,0
132,"Protesters run from riot police during clashes at Tahrir square in Cairo November 23, 2012 #Egypt",,,,,0,0,0,0,1
133,Eu #Android #Me #Androidify,,,,,1,0,1,0,0
134,#MetLife #Stadium #NewYork #Giants #NYG #GB #GBvsNYG,,,,,0,0,0,0,0
135,"""Smiles are like band-aids. They cover up the pain, but it still hurts.""",,,,,1,0,0,0,0
136,121126 beautiful Sung Jae at 2012 AIDS Campaign Concert cr: _mayboy,,,,,0,1,0,0,1
139,NJ please cross post! #founddog #hurricanesandy #nj #camden,,,,,1,0,0,0,0
141,#AFetusIsAHuman #antiabortion #allWomen #Abolionist #abortion #AbolishHumanAbortion #babies #ChildrenAreABlessing #EndAbortion #Fetus #Love #Miracles #ProLife #StopAbortion #SpeakLife #SaveOurBabies #NationalRightToLife #40dÌ_asporlavida #latinobaby #latinababy #40daysforlifeLR #40daysforlife #Prayer #BlackGenocide #blackbaby #whitebabies #BlackWomen #whiteWomen #LatinaWomen #ArkansasRightToLife,,,,,0,0,1,0,0
142,#LamarOdom #NewYork #LAClippers #thursdaynovember222012 #game,,,,,1,0,0,0,0
143,ôàô ¯_ ô_¯«¯»¯±ô_ ¯_ôã¯¬¯_¯á¯_¯Á ôÉ¯_¯»ôã¯_ôÉ¯_¯» ¯_ôãôÉô ¯_ôã - ¯_ôãôâ¯_ôà¯±¯© Cairo - shops for  low-income Egyptians,,,,,0,0,0,0,0
144,#nyc #ny #newyork #newyorker #newyorkers #loveny #lovenyc #nyclover #nycforever #instalove #instanow #instaforever #instanyc #america #usa #us #perfection #nycdreamer #nyciloveyou #ilovenyc,,,,,1,0,0,0,0
145,"Where To Download The Abortion onlineThe Abortion movie downloadActors:Akasya AsiltÌÄå_rkmenYasin Serif TulunKubilay TunÌÄå_erHayfa SafiMurat YildirimDeniz SoyarslanTÌÄå_lay BekretKevork TÌÄå_rkerSerhan ErnakAytaÌÄå_ AgirlarDownload here http://molsdvcery.info/1/movie/The-Abortion 180 Movie Changes Opinions From Pro-Abortion to Pro-Life.   The Abortion - Rotten Tomatoes - Movies | Movie Trailers | Reviews.   Review: After terminating her pregnancy against the advice of her doctor, a woman is tormented by the ghost of her aborted daughter in director Biray... It is 33 minutes that will rock your world!  Born-alive abortion movie stuns viewers - WND - A Free Press for a. .   A new 33-minute documentary film titled 180 is changing public opinion on abortion 180 degrees in a matter of minutes, as author and film producer Ray Comfort uses.   The Abortion (2006) - IMDb  Director: Biray Dalkiran. .  Film Inspired by Ì¢‰âÂèÏAbortion SurvivorÌ¢‰âÂ‰ã¢ Is Quiet Hit  As mass entertainment goes, the abortion debate does not typically count as good Saturday-night date movie fare; the subject rarely makes it to the.   The Abortion Related Movies  Movies Related to The Abortion, including summaries, cast, reviews, and information. a movie list  films that discuss Abortion a movie list - Movie Train  Abortion - Wikipedia, the free encyclopedia  Art, literature and film.   A movie based on the true story reported by WND of a woman trapped in the bathroom of an abortion clinic watching helplessly as her baby died after being born alive. Bas-relief at Angkor Wat, Cambodia, c.  films that discuss Abortion .   Abortion. - YouTube  This is the trgic tail of true lives and their consequences. 1150, depicting a demon inducing an abortion by pounding the abdomen of a pregnant woman with a pestle  ""180"" - An award-winning documentary!  Share This Award-winning Controversial Video. The Movie",,,,,1,0,0,0,0
146,#egypt #cairo #tahrir #revolution,,,,,1,0,0,0,1
147,the po-po and ambulance. _Ù_Ò_Ù_Ô never a boring day at my job. #work #police #ambulance,,,,,1,0,0,0,0
148,Sandy checking out the 28th Terra Nova Scout Group meeting @pccrovers,,,,,0,0,1,0,0
149,,,,,,0,0,0,0,0
152,#OBAMA #LMFAO #Winning #Thug,,,,,0,1,0,0,0
153,Finna go to Raising Canes! Im starving | Created with the Free @Versagram App!  #vbf1 #blackfriday #shopping #leftovers #text #versagram #versalove‰ª´,,,,,0,0,1,0,0
154,Hurricane Sandy relief show. Join us! @hotelcafe #rockdrive #friends #help #hurricanesandy,,,,,1,0,1,0,0
155,The DIVA @dayofthediva on a poster for a gig at Eagle Manchester for World AIDS Day. @katherineellis1,,,,,0,1,1,0,0
156,#bird #seaguls #malibu in #november #globalwarming,,,,,1,0,0,0,0
158,,,,,,0,0,0,0,0
159,White Obama. _Ùà__Ùàü,,,,,1,1,0,0,0
160,#Obama approves #WhoDat Love,,,,,0,0,1,0,0
161,Now this is what pizza should look like #pizza #food #foodporn #goodness #vodka #grandma #angelinas #newyorkpizza,,,,,1,0,0,0,0
162,I shit you not...most great brains in human history have been skeptical about religion & God,,,,,0,0,1,0,0
164,,,,,,0,0,0,0,0
165,The key to rocking it this early in the morning is staying up all night! ;) @todayshow #yolo #globalwarming,,,,,1,0,0,0,1
166,"While shooting my new webisodes, we just got stopped by undercover police.... Do we look suspicious to you?! _Ù÷±_Ù÷¬_Ù÷_ @jaredbrady @heavenkimchi",,,,,1,0,0,1,0
167,"Happening now! Come on down, Dank and the Funksticks are on stage! #sandy #benefit",,,,,0,0,1,0,0
169,Go #Argos Go! workin' the social media beat for Grey Cup 2012,,,,,1,0,0,0,0
170,"Seen this on twitter, what in the dilly dally shilly shally do chix be thinking after they get an abortion!?",,,,,1,0,0,1,0
171,"AugustWish! SeptemberWish! OctoberWish! NovemberWish! DecemberWish! FINALLY! =)))))) TYL! :""""""""""""> #Happiness",,,,,1,0,0,0,1
172,#MemoriesIWontForget - The Last One. ,,,,,0,1,0,0,0
173,There ya go. #homosexuality #sorrynotsorry #notoffensive #religion #truth,,,,,0,0,1,0,0
174,ôÉ¯±¯»¯_ôâ¯© ô_¯_ô_¯ø ¯_ôã¯_¯µ¯± ¯»ôâôÉ¯_ ôÉ¯_ô_¯±¯© #ôã¯¬ô_ôÄ_ô_¯__¯_¯_ô_ô  ôÅô_ #¯_ôãô ôöô_¯ø¯±¯_¯»  #¯_¯_¯«ôö¯±¯_¯Á_¯_ôãôÉôâ¯_ôöôÉ¯© #bahrain,,,,,0,0,0,0,0
175,"Trying to explain theater techniques, but lacking proper visual aids? Check out Chekov's Guns.",,,,,1,0,0,0,0
177,#steelers #steelernation #obama,,,,,1,0,1,0,0
178,Amanda Ben and I at Hyde UTD city v police,,,,,1,0,1,0,0
179,#decemberwish BEROTOT!!!,,,,,0,0,0,0,0
180,Relationship > Religion. Good morning :),,,,,0,1,0,0,0
181,Election night,,,,,0,0,0,0,1
182,""" Da Accessories That Come In L.I.F.E! "" #Religion #MercedesVision #Fendi #LVblanket #SF49ers #HallOfFame #S550 #Blessed",,,,,0,0,0,0,0
183,#thatshitcray #crazy #funny #hurricanesandy #brad,,,,,1,0,0,0,0
184,Lets do this #sportlobstertashdash #79miles #cancer #movember,,,,,0,1,0,0,0
185,Horse shoes on my ass true religion jeans #true,,,,,1,0,0,0,0
186,"NOM DE LA MARQUE:  religion TAILLE:  36-38P.A:  280‰âÂP.V:  150‰âÂADRESSE EMAIL:  coralie.debeque@gmail.com",,,,,0,0,1,0,1
187,She had me at 16 got kick out and beat still didnt get and abortion and still standing strong #tamore #1mother,,,,,0,0,1,0,0
189,Best uniform in the NFL.,,,,,1,0,0,0,0
190,,,,,,0,0,0,0,0
191,#fuckoff #Zimmerman you #deserve #life. &that #photo of #you #only being #released #now ? #so #staged #lame #killer #poor #trayvon,,,,,1,0,0,0,0
192,My grandma is the sweetest lady I know. She is currently battling cancer and has her final tests this week to see if there are any last possibilities to help her! Say a prayer for her today please! _Ùªè‰ù__Ùªè‰ù__Ùªè,,,,,1,0,1,0,0
193,#RealSexEdSavesLives! Cool condoms for PPNC's outreach in recognition of World #AIDS day,,,,,1,0,0,0,0
194,#decemberwish,,,,,1,0,0,0,0
195,Never too late lmao #Obama #KevinHart  #RP,,,,,0,1,1,0,0
196,_Ù_Û4 BUNDLE DEAL_Ù_Û #lavishemporium #boutique #blackfriday #blackfridaysale #blackfriday2012 #thanksgiving #thanksgivingsale #cybermonday #armcandy #accessories #brazilianhair #curlyhair #handbags #idohair #isellhair #indianhair #jewelry #kinkyhair #laceclosures #malaysianhair #order #peruvianhair #quality #sale #shoes #straighthair #virginhair #virginextensions #wavyhair,,,,,0,0,1,0,0
197,A scene from Tahrir Square on November 27th photographed by TIME's Bobby Ghosh. (@ghoshworld),,,,,0,0,0,0,1
198,"#DecemberWish Happy Birthday To Me ”ê¥”ã #TqALLAH #LoveISLAM #LoveUallLillahiTaala",,,,,1,0,1,0,0
199,#blackfriday #occupy #ola #tents,,,,,1,0,1,0,0
200,"RIP Young Prince, you will be missed young homie! He died of cat cancer. #CureFIP",,,,,1,0,0,0,0
201,#Philippine Crame Church (police),,,,,1,0,0,0,0
202,Alinin telefonundan :) #galatasaray #championsleague #cimbom #cimbombom #ultraaslan #instagram,,,,,0,0,0,0,1
203,Pra alguem que agt conhece ou nem?????? @ligatti _ÙÔ__ÙÔÎ,,,,,0,0,1,0,0
204,Liverpool players helping World Aids Day,,,,,1,0,0,0,0
205,"There it is!#backyard #bar #parkslope #brooklyn #newyork #brunch #egg #yolk #yum #food #foodporn",,,,,1,1,0,0,0
206,I shop at the thrift store.. I need these 50% off deals to apply to my bills.. #blackfriday,,,,,0,0,1,1,0
207,arte es arte virgen se guadalupe #expresion #art #religion#culture,,,,,1,0,0,0,0
208,@lukebullock With OBama,,,,,0,0,0,0,0
209,#DecemberWish Less stress. Less pain. Less problems. More Happiness. More Laugh.,,,,,1,0,0,0,0
210,Remember Harry's christmas twitcam in 2010,,,,,1,0,0,0,1
211,World AIDS Day in Shibuya #japan #hiv #aids #shibuya #instadaily #instapic,,,,,1,0,0,0,1
212,Quite a few cameras here for the announcement on ocean acidification. #WA #Seattle #tvnews #globalwarming #photographers,,,,,1,0,0,0,0
214,,,,,,0,0,0,0,0
215,Cotton Candy in Cairo LOL,,,,,1,0,0,0,0
216,One erection!gay #gayboy #gayboys #gayguys #gaymarriage #gayrights #freedom #freelove #street #lgbt #love #onedirection #harrystyles #luoisthomilison,,,,,1,0,0,0,1
217,#galatasaray #championsleague,,,,,1,0,1,0,0
218,#newyork #m&m's,,,,,1,1,1,0,0
219,#Dogs #Cute #MobCam #InstaDogs #InstaAnimals #Adorable #Pets #FoundAndLost,,,,,1,0,0,0,0
221,Ep 25: #lacartafaiR le mini video d'un remix avec Jay-Z pour Obama: History version 2012 dispo sur http://bit.ly/TXhiXH ... #ler1er,,,,,1,0,1,0,0
222,Every #BlackFriday shopping spree should include a stop here! @1DWorldMerch #onedirection,,,,,0,0,0,0,0
223,Bush was far more denigrated than Obama ~ #JEZEBEL #tcot #sgp #teaparty,,,,,1,1,0,0,0
225,She's finally back #mom#cairo#airport#backk#welcome#home,,,,,1,0,0,0,0
226,"Why, thank you for the free razor NFL/Gillette! _Ù÷â_ÙÔç",,,,,0,0,1,0,0
227,SternShowComiX:Howard AGT Round 2! @MFBrooklyn  #HOWARDSTERN #STERNSHOWCOMIX @zenabuddysgirl @southernjew ,,,,,1,0,1,0,0
228,Was bound to happen sooner or later #police #fivepointoh #mustang,,,,,1,0,0,0,0
230,Day on the river #roadrapers #imonaboat #85degrees #itsnovember? #globalwarming #brudders,,,,,1,0,0,0,1
231,Obama for 4 more years #team #OBAMA #my #President #is #BLACK #JET,,,,,1,0,1,0,0
234,My girl before her amazing AGT performance!,,,,,1,0,0,0,0
235,#MemoriesIWontForget,,,,,1,1,0,0,0
238,Why couldn't this movie be my birthday gift? *reproachful look* @RealHughJackman #decemberwish,,,,,0,0,0,0,0
239,"Obama is such a ""Nice Guy."" Just look at how much he cares about American Citizens. #tcot #NDAAruling ",,,,,1,0,1,0,0
240,"STILL GOING!!!! Awake for 32 hours. Partyaaye hardy. I even slept on the floor, no shame. #blackfriday #pearls #shopping #nomess #iwassnoringtoo #ohwell #hollahz #pagnit",,,,,1,0,0,0,0
241,Movember Mustache #november #movember #mustache #men #cancer #donations,,,,,1,0,1,0,0
242,,,,,,0,0,0,0,0
243,"Inspiring the Nation. STD, HIV and AIDS Awareness #aids #aidsawareness #jci #jciphilippines",,,,,1,0,1,0,0
244,In Japan watching the election? Should be able to remote vote! Gotta be an app for that lol,,,,,1,0,0,1,1
248,My Cyber Monday purchase! My blue Police Box leggings....well as I like to say Tardis leggings! Thank you @blackmilkclothing for this awesomeness!!,,,,,1,0,0,0,0
249,Obama rocks Jordans!!,,,,,1,1,0,0,0
250,#DecemberWish This as my bedroom wallpaper! #lolz #youwish,,,,,0,0,1,0,0
251,And Obama said ,,,,,1,0,0,0,0
254,Love this city. #newyork,,,,,1,1,0,0,0
255,"Boehner attempts mind control, but #Obama puts up a #psychic shield",,,,,1,0,0,0,0
256,"For those people who have said I disrespect religion & religious people (shhh, I do)",,,,,0,0,0,0,0
257,Of course @allietotheb wears band-aids made of silver... #radness,,,,,0,0,0,1,0
260,"Hey New York, I miss u... #ny #newyork #new #york #usa #timesquare #april #2012",,,,,1,0,0,0,1
261,What it's possible don't like football?! #gay #gayboy #gayboys #gayguys #gaylove #gaymarriage #freedom #kissgay #boyloveboy #lgbt #freelove #emokiss #gayrights,,,,,1,0,0,0,0
262,#truth #interesting #abortion #gays #america,,,,,1,0,1,0,0
263,"The UEFA Champions League's cup !#UEFA #ChampionsLeague #FCBarcelona #FCB #BarÌ_a #CampNou #FCBMuseum #Messi",,,,,1,0,0,0,0
264,HAHAHAH #MemoriesIWontForget @_caitmurphy @ElenaGornall1 @EmilyStuart_X,,,,,1,0,0,0,0
267,Last night (: #babyshower #cousin #auntie #lovethem #party #newyork #stophashtagging,,,,,1,0,0,0,0
268,#win #championsleague #zenit,,,,,1,0,0,0,0
269,"Really, bitch?! Daisy is the sleep police and owner of the jerk store.",,,,,1,0,0,0,0
270,"Let's conquer cancer event w/ #alexthao, #terryhe &#shimmycocopuffsss",,,,,1,0,0,0,0
271,#newyork #brooklinbridge #nightime,,,,,0,0,0,0,1
273,@vaneycj y aids,,,,,1,0,0,0,0
275,#beautiful #lovo #my #dog #white #like #android #jj #followme,,,,,1,0,0,0,0
276,,,,,,0,0,0,0,0
277,Brooklyn #flooding #hurricanesandy !! Prayers for my family and friends in the northeast,,,,,1,0,0,0,0
280,Good as you! #gay #gayboy #gayboys #gayguys #gaylove #gayrights #gaymarriage #love #lgbt #kissgay #boyloveboy #freedom #freelove,,,,,1,0,0,0,0
281,Mohamed Mahmoud 2012 #protest #police #riot #revolution #tahrir #clashes #cairo #egypt #egyptian #me #usefsalah #ua07 #march #acab #anarchy #youth #photography #photographer #photooftheday #picoftheday #instagram #instacanvas #teargas #graffiti #strong #soldiers #filmmaker #cinema #followme #chants,,,,,1,0,0,0,0
282,A nice messy Cairo,,,,,1,0,0,0,0
284,¯_¯¨ô_ô_ô_ô_ô_ô_ô_ôà ôà¯¡¯_ ¯_ôãô_ ô_¯±¯ø ¯_ôã¯±ôö¯_ ¯¬¯_ôã¯ø¯±¯_¯_ôà ôã¯_¯µ¯_¯± ôà¯_ôã¯µô ¯øôöôâ ôÉ¯Â¯_¯¬ôãô ô_ ôö¯_ô ¯_ ôÉ¯Â¯_¯¬ôã¯»ôà #milk#cairo #egypt #october,,,,,0,0,0,0,0
286,#AFetusIsAHuman #antiabortion #allWomen #Abolionist #abortion #AbolishHumanAbortion #babies #ChildrenAreABlessing #EndAbortion #Fetus #Love #Miracles #ProLife #StopAbortion #SpeakLife #SaveOurBabies #NationalRightToLife #40dÌ_asporlavida #latinobaby #latinababy #40daysforlifeLR #40daysforlife #Prayer #BlackGenocide #blackbaby #whitebabies #BlackWomen #whiteWomen #LatinaWomen #ArkansasRightToLife,,,,,1,0,0,0,0
288,,,,,,0,0,0,0,0
290,Work flowww #bakers #blackfriday # death,,,,,1,0,0,1,0
291,Holister models!! #holister #models #hottie #mall #blackfriday #shopping #abs _Ù÷÷,,,,,1,0,0,0,0
293,,,,,,0,0,0,0,0
294,Me and @brittanyybetch being belligerent on the highway #roadtrip #rude #newyork #red #car @ginny_329,,,,,1,0,1,0,0
295,Post-election rice @suculentBCN,,,,,1,1,0,0,0
